class_id,days_bin,start_slot,start_time,length_slots,duration_min,pref
1,1010100,90,07:30,12,60,2.0
1,1010100,102,08:30,12,60,0.0
1,1010100,114,09:30,12,60,0.0
1,1010100,126,10:30,12,60,0.0
1,1010100,138,11:30,12,60,0.0
1,1010100,150,12:30,12,60,-10.0
1,1010100,162,13:30,12,60,0.0
1,1010100,174,14:30,12,60,0.0
1,1010100,186,15:30,12,60,0.0
1,1010100,198,16:30,12,60,0.5
2,1010100,90,07:30,12,60,2.0
2,1010100,102,08:30,12,60,0.0
2,1010100,114,09:30,12,60,-10.0
2,1010100,126,10:30,12,60,0.0
2,1010100,138,11:30,12,60,0.0
2,1010100,150,12:30,12,60,0.0
2,1010100,162,13:30,12,60,0.0
2,1010100,174,14:30,12,60,0.0
2,1010100,186,15:30,12,60,0.0
2,1010100,198,16:30,12,60,0.5
3,1010100,90,07:30,12,60,2.0
3,1010100,102,08:30,12,60,0.0
3,1010100,114,09:30,12,60,0.0
3,1010100,126,10:30,12,60,0.0
3,1010100,138,11:30,12,60,0.0
3,1010100,150,12:30,12,60,0.0
3,1010100,162,13:30,12,60,-10.0
3,1010100,174,14:30,12,60,0.0
3,1010100,186,15:30,12,60,0.0
3,1010100,198,16:30,12,60,0.5
4,1010100,90,07:30,12,60,2.0
4,1010100,102,08:30,12,60,0.0
4,1010100,114,09:30,12,60,0.0
4,1010100,126,10:30,12,60,0.0
4,1010100,138,11:30,12,60,0.0
4,1010100,150,12:30,12,60,0.0
4,1010100,162,13:30,12,60,0.0
4,1010100,174,14:30,12,60,0.0
4,1010100,186,15:30,12,60,-10.0
4,1010100,198,16:30,12,60,0.5
5,1010100,90,07:30,12,60,2.0
5,1010100,102,08:30,12,60,-10.0
5,1010100,114,09:30,12,60,0.0
5,1010100,126,10:30,12,60,0.0
5,1010100,138,11:30,12,60,0.0
5,1010100,150,12:30,12,60,0.0
5,1010100,162,13:30,12,60,0.0
5,1010100,174,14:30,12,60,0.0
5,1010100,186,15:30,12,60,0.0
5,1010100,198,16:30,12,60,0.5
6,1000000,90,07:30,12,60,2.0
6,1000000,102,08:30,12,60,0.0
6,1000000,114,09:30,12,60,0.0
6,1000000,126,10:30,12,60,0.0
6,1000000,138,11:30,12,60,0.0
6,1000000,150,12:30,12,60,0.0
6,1000000,162,13:30,12,60,0.0
6,1000000,174,14:30,12,60,-1.0
6,1000000,186,15:30,12,60,0.0
6,1000000,198,16:30,12,60,0.5
7,1010100,90,07:30,12,60,2.0
7,1010100,102,08:30,12,60,0.0
7,1010100,114,09:30,12,60,0.0
7,1010100,126,10:30,12,60,0.0
7,1010100,138,11:30,12,60,-10.0
7,1010100,150,12:30,12,60,0.0
7,1010100,162,13:30,12,60,0.0
7,1010100,174,14:30,12,60,0.0
7,1010100,186,15:30,12,60,0.0
7,1010100,198,16:30,12,60,0.5
8,1010100,90,07:30,12,60,2.0
8,1010100,102,08:30,12,60,0.0
8,1010100,114,09:30,12,60,0.0
8,1010100,126,10:30,12,60,0.0
8,1010100,138,11:30,12,60,0.0
8,1010100,150,12:30,12,60,0.0
8,1010100,162,13:30,12,60,0.0
8,1010100,174,14:30,12,60,0.0
8,1010100,186,15:30,12,60,0.0
8,1010100,198,16:30,12,60,0.5
9,1010100,90,07:30,12,60,2.0
9,1010100,102,08:30,12,60,0.0
9,1010100,114,09:30,12,60,0.0
9,1010100,126,10:30,12,60,0.0
9,1010100,138,11:30,12,60,0.0
9,1010100,150,12:30,12,60,0.0
9,1010100,162,13:30,12,60,-10.0
9,1010100,174,14:30,12,60,0.0
9,1010100,186,15:30,12,60,0.0
9,1010100,198,16:30,12,60,0.5
10,1000000,90,07:30,12,60,2.0
10,1000000,102,08:30,12,60,0.0
10,1000000,114,09:30,12,60,0.0
10,1000000,126,10:30,12,60,0.0
10,1000000,138,11:30,12,60,0.0
10,1000000,150,12:30,12,60,0.0
10,1000000,162,13:30,12,60,0.0
10,1000000,174,14:30,12,60,-1.0
10,1000000,186,15:30,12,60,0.0
10,1000000,198,16:30,12,60,0.5
11,1010100,90,07:30,12,60,2.0
11,1010100,102,08:30,12,60,0.0
